Starting Experiment now at 3/8/2024 5:03:18 PM

Time: 3/8/2024 5:03:44 PM   |     Distance: 5.074931    |   Participant Coords: (80.7, 1.8, 29.1)   |   Item Coord: (81.4, 0.1, 24.3)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.919998 5.049713
Time: 3/8/2024 5:03:44 PM   |     Distance: 5.140996    |   Participant Coords: (80.7, 1.8, 29.1)   |   Item Coord: (81.4, 0.1, 24.3)   |  Item: w4  |   Pupil Size (Left, right): 4.948303 5.006134
Time: 3/8/2024 5:03:44 PM   |     Distance: 5.053142    |   Participant Coords: (80.7, 1.8, 29.1)   |   Item Coord: (80.9, 0.2, 24.3)   |  Item: w4  |   Pupil Size (Left, right): 4.895828 5.060669
Time: 3/8/2024 5:03:44 PM   |     Distance: 5.026819    |   Participant Coords: (80.7, 1.8, 29.0)   |   Item Coord: (80.8, 0.3, 24.3)   |  Item: w4  |   Pupil Size (Left, right): 4.966873 5.131912
Time: 3/8/2024 5:03:44 PM   |     Distance: 4.999558    |   Participant Coords: (80.7, 1.8, 29.0)   |   Item Coord: (80.8, 0.4, 24.3)   |  Item: w4  |   Pupil Size (Left, right): 5.087555 4.988892
Time: 3/8/2024 5:03:44 PM   |     Distance: 5.044197    |   Participant Coords: (80.7, 1.8, 29.0)   |   Item Coord: (81.0, 0.2, 24.3)   |  Item: w4  |   Pupil Size (Left, right): 5.095276 5.012878
Time: 3/8/2024 5:03:44 PM   |     Distance: 5.016925    |   Participant Coords: (80.7, 1.8, 29.0)   |   Item Coord: (81.0, 0.3, 24.3)   |  Item: w4  |   Pupil Size (Left, right): 5.141525 4.998062
Time: 3/8/2024 5:03:44 PM   |     Distance: 5.049099    |   Participant Coords: (80.8, 1.8, 29.0)   |   Item Coord: (80.9, 0.2, 24.3)   |  Item: w4  |   Pupil Size (Left, right): 5.067719 5.050186
Time: 3/8/2024 5:03:45 PM   |     Distance: 5.031826    |   Participant Coords: (80.8, 1.8, 29.0)   |   Item Coord: (80.4, 0.2, 24.3)   |  Item: w4  |   Pupil Size (Left, right): 5.136963 5.056656
Time: 3/8/2024 5:03:45 PM   |     Distance: 5.030731    |   Participant Coords: (80.8, 1.8, 29.0)   |   Item Coord: (80.3, 0.2, 24.3)   |  Item: w4  |   Pupil Size (Left, right): 5.056931 5.144272
Time: 3/8/2024 5:03:45 PM   |     Distance: 5.050947    |   Participant Coords: (80.8, 1.8, 29.0)   |   Item Coord: (80.3, 0.2, 24.3)   |  Item: w4  |   Pupil Size (Left, right): 5.113708 5.028152
Time: 3/8/2024 5:03:45 PM   |     Distance: 5.057706    |   Participant Coords: (80.8, 1.8, 29.0)   |   Item Coord: (80.3, 0.1, 24.3)   |  Item: w4  |   Pupil Size (Left, right): 5.102859 5.077179
Time: 3/8/2024 5:03:45 PM   |     Distance: 5.072169    |   Participant Coords: (80.8, 1.8, 29.0)   |   Item Coord: (80.3, 0.1, 24.3)   |  Item: w4  |   Pupil Size (Left, right): 5.18895 5.127625
Time: 3/8/2024 5:03:45 PM   |     Distance: 5.065715    |   Participant Coords: (80.8, 1.8, 29.0)   |   Item Coord: (80.2, 0.1, 24.3)   |  Item: w4  |   Pupil Size (Left, right): 5.077255 5.036804
Time: 3/8/2024 5:03:45 PM   |     Distance: 5.069481    |   Participant Coords: (80.8, 1.8, 29.0)   |   Item Coord: (80.3, 0.1, 24.3)   |  Item: w4  |   Pupil Size (Left, right): 5.155136 5.096481
