Starting Experiment now at 3/8/2024 12:14:24 PM

Time: 3/8/2024 12:14:43 PM   |     Distance: 14.57338    |   Participant Coords: (99.8, 1.7, -10.1)   |   Item Coord: (102.4, 0.7, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.834381 5.809296
Time: 3/8/2024 12:14:43 PM   |     Distance: 14.56508    |   Participant Coords: (99.8, 1.7, -10.2)   |   Item Coord: (102.4, 0.8, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.766586 5.87587
Time: 3/8/2024 12:14:43 PM   |     Distance: 14.57337    |   Participant Coords: (99.9, 1.7, -10.2)   |   Item Coord: (102.5, 0.9, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.606293 5.884338
Time: 3/8/2024 12:14:43 PM   |     Distance: 15.58858    |   Participant Coords: (99.9, 1.7, -10.2)   |   Item Coord: (102.8, 0.4, 5.1)   |  Item: w2  |   Pupil Size (Left, right): 6.048508 5.996735
Time: 3/8/2024 12:14:43 PM   |     Distance: 14.61294    |   Participant Coords: (99.9, 1.7, -10.2)   |   Item Coord: (102.6, 0.6, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 6.081787 5.870499
Time: 3/8/2024 12:14:43 PM   |     Distance: 14.61057    |   Participant Coords: (99.9, 1.7, -10.2)   |   Item Coord: (102.5, 0.5, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 6.055542 5.921509
Time: 3/8/2024 12:14:43 PM   |     Distance: 15.77726    |   Participant Coords: (99.9, 1.7, -10.2)   |   Item Coord: (102.8, 0.3, 5.3)   |  Item: w2  |   Pupil Size (Left, right): 6.149002 5.896072
Time: 3/8/2024 12:14:43 PM   |     Distance: 14.59018    |   Participant Coords: (99.9, 1.7, -10.2)   |   Item Coord: (102.3, 0.2, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 6.114044 5.935928
Time: 3/8/2024 12:14:43 PM   |     Distance: 13.28932    |   Participant Coords: (99.9, 1.7, -10.2)   |   Item Coord: (102.0, 0.1, 2.8)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.851669 5.958542
Time: 3/8/2024 12:14:44 PM   |     Distance: 14.50533    |   Participant Coords: (99.9, 1.7, -10.1)   |   Item Coord: (102.0, 0.1, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 6.142563 6.013336
Time: 3/8/2024 12:14:44 PM   |     Distance: 14.38571    |   Participant Coords: (99.9, 1.7, -10.1)   |   Item Coord: (101.8, 1.5, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 6.18689 6.020996
Time: 3/8/2024 12:14:44 PM   |     Distance: 14.35987    |   Participant Coords: (99.9, 1.7, -10.1)   |   Item Coord: (101.6, 2.0, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 6.229843 5.937714
Time: 3/8/2024 12:14:44 PM   |     Distance: 14.32859    |   Participant Coords: (99.9, 1.7, -10.1)   |   Item Coord: (101.2, 2.1, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 6.136185 5.949005
Time: 3/8/2024 12:14:44 PM   |     Distance: 14.31503    |   Participant Coords: (99.9, 1.7, -10.1)   |   Item Coord: (101.1, 1.6, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 6.082535 6.018417
Time: 3/8/2024 12:14:44 PM   |     Distance: 14.33336    |   Participant Coords: (99.9, 1.7, -10.1)   |   Item Coord: (100.8, 0.7, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.849792 5.914413
Time: 3/8/2024 12:14:44 PM   |     Distance: 13.22145    |   Participant Coords: (99.9, 1.7, -10.1)   |   Item Coord: (101.0, 0.1, 3.0)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.990814 5.820572
Time: 3/8/2024 12:14:44 PM   |     Distance: 14.335    |   Participant Coords: (99.9, 1.7, -10.1)   |   Item Coord: (99.5, 0.5, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.762146 5.910263
Time: 3/8/2024 12:14:44 PM   |     Distance: 8.907484    |   Participant Coords: (99.9, 1.7, -10.1)   |   Item Coord: (100.7, 0.1, -1.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.74382 5.85791
Time: 3/8/2024 12:14:44 PM   |     Distance: 13.88509    |   Participant Coords: (99.9, 1.7, -10.1)   |   Item Coord: (101.6, 0.0, 3.6)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.546112 5.888016
